"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'FOB (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'FOB (Baht)')"
AU,AUSTRALIA,34000,2022239,34000,2022239
BD,BANGLADESH,68000,3945510,68000,3945510
KH,CAMBODIA,1760,130633,1760,130633
CN,CHINA,8273400,485465375,8273400,485465375
IN,INDIA,1556000,90891351,1556000,90891351
ID,INDONESIA,99500,5716276,99500,5716276
JP,JAPAN,2250,134072,2250,134072
KR,"KOREA,REPUBLIC OF",10950,610197,10950,610197
MY,MALAYSIA,750,55674,750,55674
PK,PAKISTAN,119000,6842263,119000,6842263
PH,PHILIPPINES,1500,71459,1500,71459
SG,SINGAPORE,675,57400,675,57400
LK,SRI LANKA,119000,6958469,119000,6958469
TW,"TAIWAN, PROVINCE OF CHINA",700,49774,700,49774
US,UNITED STATES,50000,2987135,50000,2987135
VN,VIETNAM,79150,4722306,79150,4722306
SUM,SUM,10416635,610660133,10416635,610660133
