"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'FOB (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'FOB (Baht)')"
AU,AUSTRALIA,30000,860958,30000,860958
BD,BANGLADESH,480,53444,68480,3064575
BE,BELGIUM,500,31279,500,31279
CN,CHINA,475,20935,12475,869886
DJ,DJIBOUTI,0,0,34000,1531031
ID,INDONESIA,32000,2002566,82500,4527152
JP,JAPAN,1761,299370,49143,2804774
KR,"KOREA,REPUBLIC OF",50,4187,50,4187
MY,MALAYSIA,1000,37000,1000,37000
MM,MYANMAR,0,0,200,17244
PK,PAKISTAN,0,0,50,4953
PH,PHILIPPINES,0,0,51000,2306299
VN,VIETNAM,82460,5747628,156320,10761358
SUM,SUM,148726,9057367,485718,26820696
