"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'FOB (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'FOB (Baht)')"
AU,AUSTRALIA,45000,895012,120000,2364805
BD,BANGLADESH,61000,5235590,88625,7529866
BE,BELGIUM,180000,15834730,524400,48236043
KH,CAMBODIA,42900,6450562,84389,12511916
CN,CHINA,162581,11719469,560403,37680859
EG,EGYPT,0,0,72000,3881113
GN,GUINEA,54000,1170195,54000,1170195
IN,INDIA,792950,50281090,1798905,120671654
ID,INDONESIA,185525,12254778,507575,33900137
JP,JAPAN,20,4548,107556,7152232
KR,"KOREA,REPUBLIC OF",0,0,600,4284
LA,LAO PDR,46,9574,89,20076
MY,MALAYSIA,58048,5449707,145173,14068506
MM,MYANMAR,1101,103670,1331,124641
PK,PAKISTAN,4125,208279,20625,1773230
PH,PHILIPPINES,45500,2975168,76570,4941450
SA,SAUDI ARABIA,13150,821458,135550,9099780
SG,SINGAPORE,20,2000,20,2000
ZA,SOUTH AFRICA,500,41553,3500,298467
TW,"TAIWAN, PROVINCE OF CHINA",67050,6447367,129000,11639967
AE,UNITED ARAB EMIRATES,60000,1376804,133000,7546509
US,UNITED STATES,0,0,500,34724
VN,VIETNAM,19098,1602372,98919,6546498
SUM,SUM,1792614,122883926,4662730,331198952
