"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'FOB (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,5000,437529
CN,CHINA,145400,7578929,964585,48106060
IN,INDIA,500,2117,91880,5021467
ID,INDONESIA,5000,257923,44700,3906774
JP,JAPAN,1500,99333,30425,2118631
KE,KENYA,0,0,13000,422881
MY,MALAYSIA,0,0,18675,1684214
MM,MYANMAR,3000,168798,3350,206038
NZ,NEW ZEALAND,0,0,20625,1469970
PK,PAKISTAN,16000,612174,16000,612174
SG,SINGAPORE,0,0,6000,416548
LK,SRI LANKA,0,0,11,32
TW,"TAIWAN, PROVINCE OF CHINA",275,25182,1775,243021
VN,VIETNAM,0,0,12300,1034251
SUM,SUM,171675,8744456,1228326,65679590
