"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'FOB (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'FOB (Baht)')"
AR,ARGENTINA,100900,8048154,188900,15053970
AU,AUSTRALIA,15504,1626183,30504,3220526
BD,BANGLADESH,16500,1690453,20600,2080744
BE,BELGIUM,0,0,104,2641
CN,CHINA,365400,25505749,866460,61301426
EG,EGYPT,25000,1385219,89000,5871726
GH,GHANA,32500,884595,48750,1378059
HK,HONG KONG,9700,675614,9700,675614
IN,INDIA,117360,10713707,326810,28686182
ID,INDONESIA,82575,6934441,167575,14592856
JP,JAPAN,76500,1859110,132800,3852078
KE,KENYA,16250,442297,34250,1159354
KR,"KOREA,REPUBLIC OF",10500,710430,12851,824704
MY,MALAYSIA,91230,7787202,191180,14815841
MM,MYANMAR,2000,173200,2000,173200
PH,PHILIPPINES,12810,1341930,26946,3094423
SN,SENEGAL,0,0,32000,1107586
SG,SINGAPORE,24750,1108058,49500,2289194
LK,SRI LANKA,600,79937,600,79937
TW,"TAIWAN, PROVINCE OF CHINA",25171,2354038,55671,5898375
AE,UNITED ARAB EMIRATES,60000,1688833,76000,1933076
US,UNITED STATES,0,0,18000,1498767
VN,VIETNAM,10357,1102547,42748,4224756
SUM,SUM,1095607,76111697,2422949,173815035
