"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
CN,CHINA,11650,1363249,41075,4669051
HK,HONG KONG,4300,223317,7400,381700
IN,INDIA,1500,207155,1500,207155
ID,INDONESIA,0,0,80300,10921342
JP,JAPAN,100,3680,200,13257
KR,"KOREA,REPUBLIC OF",0,0,84000,9128083
LA,LAO PDR,28000,1107000,79220,3217194
MX,MEXICO,0,0,25,4642
PK,PAKISTAN,39300,3323888,67925,5597566
PH,PHILIPPINES,34225,1848523,87650,4668577
US,UNITED STATES,0,0,5500,284698
VN,VIETNAM,20000,985150,158375,7906140
SUM,SUM,139075,9061962,613170,46999405
