"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'FOB (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'FOB (Baht)')"
AR,ARGENTINA,25500,1644487,54000,3380488
AU,AUSTRALIA,15125,1600148,141813,4534190
BD,BANGLADESH,0,0,232750,18265293
BE,BELGIUM,131140,14265234,1419740,139363938
KH,CAMBODIA,27300,4554338,260483,37821893
CN,CHINA,382645,39826945,2209679,193104368
CZ,CZECH REPUBLIC,0,0,492,34418
EG,EGYPT,24000,1508883,144000,8261343
DE,GERMANY,0,0,1706,75504
GN,GUINEA,0,0,54000,1170195
HK,HONG KONG,1,16,1,16
IN,INDIA,464449,36737215,4217240,301606554
ID,INDONESIA,287825,23907966,1529790,116773220
JP,JAPAN,150,10047,329919,25051990
KR,"KOREA,REPUBLIC OF",22000,2091711,44975,4247779
LA,LAO PDR,52,17296,306,80753
MY,MALAYSIA,74099,3730798,333772,29397834
MU,MAURITIUS,0,0,32400,783531
MX,MEXICO,0,0,16000,874149
MM,MYANMAR,3870,349569,6341,643676
NL,NETHERLANDS,0,0,20,2000
PK,PAKISTAN,0,0,69175,5596884
PH,PHILIPPINES,12050,998363,220320,16089738
SA,SAUDI ARABIA,0,0,257250,18313552
SG,SINGAPORE,0,0,1020,213180
ZA,SOUTH AFRICA,1000,105411,26110,2345032
LK,SRI LANKA,88,9246,16088,386731
TW,"TAIWAN, PROVINCE OF CHINA",34500,4093190,271400,26625448
AE,UNITED ARAB EMIRATES,41700,1385485,294700,11805772
US,UNITED STATES,12750,1098785,13250,1133509
VN,VIETNAM,30700,2420978,226779,16662289
SUM,SUM,1590944,140356111,12425519,984645267
