"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'FOB (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'FOB (Baht)')"
CN,CHINA,198960,4335769,1066884,21155860
DE,GERMANY,126,12348,126,12348
HK,HONG KONG,0,0,6,14976
ID,INDONESIA,0,0,5,2919
JP,JAPAN,0,0,1,31
LA,LAO PDR,5000,167493,48800,1836573
NZ,NEW ZEALAND,0,0,33,14386
SG,SINGAPORE,0,0,2202,122166
ES,SPAIN,0,0,130,12740
AE,UNITED ARAB EMIRATES,0,0,2,123
US,UNITED STATES,0,0,54,3120
VN,VIETNAM,100,23667,353,42994
SUM,SUM,204186,4539277,1118596,23218236
