"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
AU,AUSTRALIA,48000,2355288,63000,3100268
BD,BANGLADESH,221000,10751847,425000,20622740
CN,CHINA,6298300,318943099,20564300,1038228227
IN,INDIA,610075,29136406,8563075,420739017
ID,INDONESIA,72025,3495800,267125,13205256
LA,LAO PDR,139,193881,232,358099
MY,MALAYSIA,140,55040,140,55040
MU,MAURITIUS,0,0,1500,75472
MX,MEXICO,0,0,52000,1150535
PK,PAKISTAN,5000,259157,90000,4490449
LK,SRI LANKA,0,0,68000,3359309
TW,"TAIWAN, PROVINCE OF CHINA",0,0,17000,848855
VN,VIETNAM,78000,3819395,144000,7106395
SUM,SUM,7332679,369009913,30255372,1513339662
