"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'FOB (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'FOB (Baht)')"
AR,ARGENTINA,3000,256419,350150,24923706
AU,AUSTRALIA,85680,4015604,374180,23341898
BD,BANGLADESH,0,0,171000,6837812
BR,BRAZIL,0,0,2000,105216
BF,BURKINA FASO,4,469,4,469
KH,CAMBODIA,0,0,27100,1182139
CN,CHINA,6056492,91859047,41187842,679386695
DK,DENMARK,14975,816138,24975,1361138
FJ,FIJI,0,0,28925,1231359
DE,GERMANY,0,0,13000,46597
GH,GHANA,0,0,13500,104638
HK,HONG KONG,0,0,235556,1816495
IN,INDIA,211320,6558309,1522770,42669571
ID,INDONESIA,455875,18477779,1430891,60059955
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,24750,1233370
IT,ITALY,0,0,15,7680
JP,JAPAN,13220,1878058,618173,24394362
KE,KENYA,0,0,25000,194661
KR,"KOREA,REPUBLIC OF",79500,621807,139488,1552188
LA,LAO PDR,5500,421475,54550,3579702
MY,MALAYSIA,34550,2752830,381716,34826797
MU,MAURITIUS,0,0,1100,187017
MM,MYANMAR,0,0,17626,834062
NP,NEPAL,9500,1455825,33600,4981676
NZ,NEW ZEALAND,3380,280587,65660,5220410
PK,PAKISTAN,11500,946868,143325,9274965
PH,PHILIPPINES,5000,441945,168570,8515198
PL,POLAND,0,0,104,177877
SG,SINGAPORE,13995,2204650,87270,9835711
SK,SLOVAKIA,0,0,101,9731
SI,SLOVENIA,115200,3000762,805920,24409050
ZA,SOUTH AFRICA,0,0,24415,1858490
LK,SRI LANKA,0,0,101500,2684180
TW,"TAIWAN, PROVINCE OF CHINA",126825,6766475,912375,39775416
TR,TÜRKIYE,7050,819011,31050,3138781
AE,UNITED ARAB EMIRATES,9625,481803,20975,1214582
GB,UNITED KINGDOM,0,0,10,298
US,UNITED STATES,3,415,3605,1105443
UY,URUGUAY,0,0,600,98018
VN,VIETNAM,93584,7697670,556261,45965395
SUM,SUM,7355778,151753946,49599652,1068142748
