"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'FOB (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'FOB (Baht)')"
AR,ARGENTINA,101300,9712740,603450,49115207
AU,AUSTRALIA,30000,2772887,120504,11824058
BD,BANGLADESH,0,0,20600,2080744
BE,BELGIUM,0,0,104,2641
CN,CHINA,136925,5961797,1528200,93193000
EG,EGYPT,45000,2572246,302000,19628526
GH,GHANA,145750,4157165,418750,11736368
HK,HONG KONG,500,103886,10203,809723
IN,INDIA,167455,15311113,1250578,116429307
ID,INDONESIA,117700,11960620,997005,88147086
JP,JAPAN,7500,1311114,357483,11699531
KE,KENYA,43500,1461156,133750,4314182
KR,"KOREA,REPUBLIC OF",12250,975410,37101,2672993
LA,LAO PDR,0,0,39,19078
MG,MADAGASCAR,336000,4492656,512000,6831554
MY,MALAYSIA,75050,5058809,629823,47544561
MV,MALDIVES,0,0,6,5000
MM,MYANMAR,0,0,4520,394700
PK,PAKISTAN,500,59122,32500,1236282
PH,PHILIPPINES,1523,512814,57349,6779751
PT,PORTUGAL,0,0,175,52757
SA,SAUDI ARABIA,48000,3691454,48000,3691454
SN,SENEGAL,0,0,48000,1681679
SG,SINGAPORE,49500,2696147,148500,7529411
ZA,SOUTH AFRICA,27904,1482798,45054,2285173
LK,SRI LANKA,32000,949340,122575,3749201
TW,"TAIWAN, PROVINCE OF CHINA",13460,1199100,158826,14545570
TR,TÜRKIYE,250,92404,250,92404
AE,UNITED ARAB EMIRATES,16000,241814,288000,7293563
US,UNITED STATES,1364,109084,19364,1607851
VN,VIETNAM,100675,4757191,376713,23535584
SUM,SUM,1510106,81642867,8271422,540528939
