"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'FOB (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'FOB (Baht)')"
AO,ANGOLA,362250,14204616,362250,14204616
AR,ARGENTINA,85600,4921499,315900,16693540
AU,AUSTRALIA,877260,35490204,1260010,50044858
BD,BANGLADESH,1549250,62049760,3509250,140268730
BR,BRAZIL,1416800,57646413,1787800,73205154
KH,CAMBODIA,125000,4849467,280400,10946283
CA,CANADA,240000,9496072,336000,13301702
CL,CHILE,0,0,48000,2092696
CN,CHINA,9458700,339528992,15671450,564715591
CG,CONGO,481500,19729132,481500,19729132
CI,COTE D IVOIRE,103500,4193533,138000,5586338
DJ,DJIBOUTI,0,0,49500,1888508
EC,ECUADOR,178500,7491787,408000,16830196
EG,EGYPT,127500,4393328,311000,11114512
SV,EL SALVADOR,207875,7419200,207875,7419200
FJ,FIJI,134250,5462473,218250,8850075
FR,FRANCE,1500,59606,1500,59606
PF,FRENCH POLYNESIA,0,0,30000,1010423
DE,GERMANY,3100,92310,3100,92310
GH,GHANA,413250,15526435,464250,17722988
GN,GUINEA,207000,7855401,207000,7855401
HK,HONG KONG,33750,1341260,35750,1718306
IN,INDIA,4775109,174996393,8388829,302054226
ID,INDONESIA,5074400,208679960,8941900,375829671
IL,ISRAEL,502500,18935294,526500,19945012
IT,ITALY,3000,119212,3000,119212
JP,JAPAN,1741085,69533821,3692460,149535923
KE,KENYA,155450,6089430,189950,7561325
KR,"KOREA,REPUBLIC OF",70500,2760602,95550,3827946
LA,LAO PDR,12960,548880,78870,3280661
MY,MALAYSIA,961525,38022391,1980975,78694682
MU,MAURITIUS,68250,2666075,171750,6721229
MX,MEXICO,790500,23184293,1966500,57282842
MZ,MOZAMBIQUE,224250,8704770,224250,8704770
MM,MYANMAR,0,0,34000,1337195
NL,NETHERLANDS,348000,14608668,408000,17120919
NZ,NEW ZEALAND,158500,6081235,288500,10974352
NG,NIGERIA,765500,30718932,1327000,48944368
OM,OMAN,48000,1926858,48000,1926858
PK,PAKISTAN,1390675,70494214,2013150,101117848
PH,PHILIPPINES,1796100,75399955,3364775,141874122
PT,PORTUGAL,16500,696736,16500,696736
RU,RUSSIAN FEDERATION,34000,1375622,34000,1375622
SN,SENEGAL,137500,5438979,137500,5438979
SL,SIERRA LEONE,103500,3780579,103500,3780579
ZA,SOUTH AFRICA,1092575,67845438,1820075,110166756
LK,SRI LANKA,170000,6845888,286000,11593082
TW,"TAIWAN, PROVINCE OF CHINA",96050,6070581,154051,9770328
TZ,TANZANIA UNITED REPUBLIC OF,189750,7369942,258750,10085299
TG,TOGO,51750,2052856,51750,2052856
TR,TÜRKIYE,277000,12087246,567000,22986936
AE,UNITED ARAB EMIRATES,48000,2021164,168000,6987608
US,UNITED STATES,973500,34170433,1436400,48777814
VN,VIETNAM,2463936,96532221,4865124,190006867
SUM,SUM,40546950,1601510156,69769394,2745922788
