"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
AU,AUSTRALIA,90070,3700358,3803141,192106766
BD,BANGLADESH,50,3449,269350,12876728
BE,BELGIUM,0,0,237600,14980116
BT,BHUTAN,0,0,313500,14804658
KH,CAMBODIA,0,0,3000,146661
CN,CHINA,1705905,73301378,84391141,4330113948
DJ,DJIBOUTI,0,0,100,16041
FJ,FIJI,15000,657111,15000,657111
HK,HONG KONG,0,0,315337,16598224
IN,INDIA,724441,24931638,14961516,683955851
ID,INDONESIA,77325,4658094,16894565,819376149
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,72000,5343738
IE,IRELAND,0,0,750,70703
JP,JAPAN,144500,6660156,19686313,1058440496
KE,KENYA,0,0,33000,1023638
KR,"KOREA,REPUBLIC OF",835,21493,3013445,191257640
LA,LAO PDR,0,0,500,209071
MY,MALAYSIA,42625,2572452,3536405,185405271
MZ,MOZAMBIQUE,0,0,300,21017
MM,MYANMAR,417100,7043822,1121775,23798873
NP,NEPAL,0,0,53350,2910755
NL,NETHERLANDS,0,689,0,689
NZ,NEW ZEALAND,34020,2345504,1887525,94054383
PK,PAKISTAN,24750,1161559,203100,10095710
PG,PAPUA NEW GUINEA,0,0,125,21724
PH,PHILIPPINES,1000,173243,2298600,105961381
RU,RUSSIAN FEDERATION,50,7416,50,7416
SA,SAUDI ARABIA,0,0,19200,1790925
SG,SINGAPORE,0,0,477858,32308610
ZA,SOUTH AFRICA,500,78084,500,78084
LK,SRI LANKA,0,0,349875,17044952
TW,"TAIWAN, PROVINCE OF CHINA",120250,5315007,2901375,147201606
TR,TÜRKIYE,0,0,11000,2055261
AE,UNITED ARAB EMIRATES,0,0,3000,481239
US,UNITED STATES,40,1552,39849,2439500
VN,VIETNAM,60955,5205731,3197845,210087828
SUM,SUM,3459416,137838736,160111990,8177742763
