"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'FOB (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'FOB (Baht)')"
AF,AFGHANISTAN,0,0,51000,2697009
AU,AUSTRALIA,48050,2538736,213100,11973491
BD,BANGLADESH,204000,9421820,4590000,238112765
KH,CAMBODIA,0,0,18520,1206233
CN,CHINA,4467100,223825215,59090925,3207008624
DJ,DJIBOUTI,0,0,68000,3836434
ET,ETHIOPIA,0,0,102000,6018536
DE,GERMANY,0,0,2500,149317
HK,HONG KONG,0,0,25000,875000
IN,INDIA,997000,48134398,17900500,987460161
ID,INDONESIA,180000,8786305,1573525,86489380
JP,JAPAN,200,43055,326325,17203525
KR,"KOREA,REPUBLIC OF",225,13769,11975,726831
MY,MALAYSIA,29000,1423965,286365,15393091
MU,MAURITIUS,5000,248295,8000,440421
NP,NEPAL,0,0,34000,1702928
NG,NIGERIA,0,0,1020000,55820649
NO,NORWAY,0,0,2,6105
PK,PAKISTAN,1375,76320,3366375,182167321
PH,PHILIPPINES,0,0,262371,14744949
SG,SINGAPORE,0,0,9398,584342
LK,SRI LANKA,102000,4924168,952000,53498034
SY,SYRIAN ARAB REPUBLIC,0,0,80000,4767003
TW,"TAIWAN, PROVINCE OF CHINA",100,3046,20300,1072369
TR,TÜRKIYE,0,0,17000,1083034
US,UNITED STATES,0,0,88000,5752761
VN,VIETNAM,102030,5045312,2300180,135890575
SUM,SUM,6136080,304484404,92417361,5036680888
