"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'FOB (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1570876,127000,13955141
BD,BANGLADESH,4850,428808,16925,2092930
BE,BELGIUM,0,0,107,3444
BR,BRAZIL,0,0,14225,1420686
CN,CHINA,113760,9396985,1728580,129504992
CI,COTE D IVOIRE,0,0,32500,975644
EG,EGYPT,0,0,2800,528380
GH,GHANA,0,0,76000,2349395
GN,GUINEA,32500,973540,32500,973540
GW,GUINEA-BISSAU,32500,973540,32500,973540
HK,HONG KONG,0,0,6275,652097
IN,INDIA,239600,22392139,3098852,254123274
ID,INDONESIA,45800,3097350,96976,10459498
IT,ITALY,0,0,100,10000
JP,JAPAN,155225,4277092,607649,38915015
KE,KENYA,16250,489748,32500,1094085
KP,KOREA DPR,0,0,500,26098
KR,"KOREA,REPUBLIC OF",100,11322,61526,6474225
LA,LAO PDR,0,0,170,16335
LU,LUXEMBOURG,0,0,2302,99017
MY,MALAYSIA,1050,207350,71140,4314600
MM,MYANMAR,1500,132900,41625,2141425
NZ,NEW ZEALAND,0,32,0,32
PH,PHILIPPINES,0,0,4364,1126481
SG,SINGAPORE,0,0,124137,7085958
ZA,SOUTH AFRICA,0,0,17000,545844
LK,SRI LANKA,0,0,6275,722045
TW,"TAIWAN, PROVINCE OF CHINA",27989,3048214,313718,32147496
GB,UNITED KINGDOM,0,0,8325,1788106
VN,VIETNAM,724,143707,36542,2129864
SUM,SUM,686848,47143603,6593113,516649187
