"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'FOB (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'FOB (Baht)')"
AU,AUSTRALIA,243480,13620919,1696625,108251337
AT,AUSTRIA,0,0,1030,38200
BD,BANGLADESH,0,0,1425700,76052145
CN,CHINA,12465074,622497208,75977850,4016892257
DJ,DJIBOUTI,0,0,102000,3039229
ET,ETHIOPIA,119000,3556450,169000,5061024
FJ,FIJI,0,0,12750,688225
DE,GERMANY,0,0,2350,99570
HK,HONG KONG,431274,17760877,2481968,122208506
IN,INDIA,643700,33329564,7173800,395072112
ID,INDONESIA,1079880,48133533,11519575,544447911
JP,JAPAN,2586148,169048329,15690918,936216673
KE,KENYA,0,0,17000,447886
KR,"KOREA,REPUBLIC OF",1375825,80712860,13116615,782161026
LA,LAO PDR,0,0,247650,8196135
LB,LEBANON,0,0,1500,188605
MY,MALAYSIA,3136375,138598067,25947936,1149973372
ML,MALI,0,0,16000,292764
MU,MAURITIUS,34100,931188,67350,1948126
MM,MYANMAR,1060,213304,4545,290244
NZ,NEW ZEALAND,8800,614710,164081,14885369
PK,PAKISTAN,5500,372554,14300,877914
PE,PERU,0,0,288000,11706642
PH,PHILIPPINES,1807600,76248117,8875012,384278385
SA,SAUDI ARABIA,0,0,2950,367758
SG,SINGAPORE,218575,12966520,2114859,126808205
LK,SRI LANKA,19800,1189600,68200,4111806
TW,"TAIWAN, PROVINCE OF CHINA",430817,22365064,3429501,179916342
TR,TÜRKIYE,0,0,16000,634086
AE,UNITED ARAB EMIRATES,25000,2719322,25000,2719322
GB,UNITED KINGDOM,0,0,168,4450
US,UNITED STATES,124050,2469585,124209,2470845
VN,VIETNAM,300300,18083631,941413,57270132
SUM,SUM,25056358,1265431402,171735855,8937616603
