"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'FOB (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'FOB (Baht)')"
AU,AUSTRALIA,30000,597967,75000,1469793
BD,BANGLADESH,24000,1739386,27625,2294276
BE,BELGIUM,176400,16524565,344400,32401313
KH,CAMBODIA,41489,6061354,41489,6061354
CN,CHINA,137675,10653283,397822,25961390
EG,EGYPT,48000,2603351,72000,3881113
IN,INDIA,678175,46059937,1005955,70390564
ID,INDONESIA,154600,10846574,322050,21645359
JP,JAPAN,43832,3099667,107536,7147684
KR,"KOREA,REPUBLIC OF",600,4284,600,4284
LA,LAO PDR,43,10502,43,10502
MY,MALAYSIA,38125,4025123,87125,8618799
MM,MYANMAR,210,20375,230,20971
PK,PAKISTAN,16500,1564951,16500,1564951
PH,PHILIPPINES,0,0,31070,1966282
SA,SAUDI ARABIA,48525,3029079,122400,8278322
ZA,SOUTH AFRICA,3000,256914,3000,256914
TW,"TAIWAN, PROVINCE OF CHINA",45000,3852463,61950,5192600
AE,UNITED ARAB EMIRATES,25000,1618796,73000,6169705
US,UNITED STATES,0,0,500,34724
VN,VIETNAM,33507,1950291,79821,4944126
SUM,SUM,1544681,114518862,2870116,208315026
