"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'FOB (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1210764,30015,2438534
BD,BANGLADESH,510000,41860534,578000,47488095
CN,CHINA,6491467,474601219,54747892,4042794664
DE,GERMANY,0,0,75,6412
IN,INDIA,1686000,134088520,7835400,575367927
ID,INDONESIA,81600,6708708,523675,40539438
JP,JAPAN,0,0,12000,1122567
LA,LAO PDR,10,24473,1020,246279
MY,MALAYSIA,7925,954830,878642,72772261
PK,PAKISTAN,16000,1364065,75500,5665244
PH,PHILIPPINES,0,0,43925,4310401
SA,SAUDI ARABIA,0,0,24000,1645753
SG,SINGAPORE,0,0,24400,1905701
TW,"TAIWAN, PROVINCE OF CHINA",5000,383252,5000,383252
TR,TÜRKIYE,0,0,24000,1980866
AE,UNITED ARAB EMIRATES,48000,4129739,48000,4129739
US,UNITED STATES,19000,1604967,113000,8688200
VN,VIETNAM,146200,12376985,948600,83198392
SUM,SUM,9026202,679308056,65913144,4894683725
