"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'FOB (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'FOB (Baht)')"
AF,AFGHANISTAN,0,0,34000,1599815
AU,AUSTRALIA,137000,7544555,813400,42541491
BD,BANGLADESH,527000,26371746,4329000,204000429
KH,CAMBODIA,0,0,3300,279195
CL,CHILE,34000,1738614,34000,1738614
CN,CHINA,3366000,173450742,35563800,1726028393
DJ,DJIBOUTI,0,0,68000,3356598
ET,ETHIOPIA,0,0,34000,1702407
HK,HONG KONG,0,0,2400,128822
IN,INDIA,1998000,102407236,21788375,1039186451
ID,INDONESIA,194000,10128113,1129950,56055573
JP,JAPAN,700,71817,26700,1489659
KR,"KOREA,REPUBLIC OF",0,0,15175,847596
MY,MALAYSIA,38500,2109358,212750,10950162
PK,PAKISTAN,135000,6889515,1835000,89390031
PH,PHILIPPINES,300,26060,25200,1329822
SA,SAUDI ARABIA,0,0,74000,3683357
SG,SINGAPORE,1500,110702,11700,742254
LK,SRI LANKA,51000,2617332,493000,23991545
TW,"TAIWAN, PROVINCE OF CHINA",2100,219993,3100,275574
TR,TÜRKIYE,0,0,68000,3547855
US,UNITED STATES,0,0,69006,3632313
VN,VIETNAM,34187,1838261,691072,32528650
SUM,SUM,6519287,335524044,67324928,3249026606
