"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'FOB (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'FOB (Baht)')"
BD,BANGLADESH,25000,2175104,105000,4574609
BE,BELGIUM,120000,14020984,240000,28693534
CN,CHINA,760002,17556940,1037610,31546676
CZ,CZECH REPUBLIC,295,24471,295,24471
IN,INDIA,382875,33814614,749475,70671392
ID,INDONESIA,275850,23142240,528165,47484524
JP,JAPAN,20432,1139611,40396,2179617
KR,"KOREA,REPUBLIC OF",23000,2530247,46000,5211020
LA,LAO PDR,204,34154,557,102148
MY,MALAYSIA,55100,7273669,112050,14397808
MM,MYANMAR,0,0,306,37350
NG,NIGERIA,0,0,3000,226290
PH,PHILIPPINES,10054,946017,14029,1347254
ZA,SOUTH AFRICA,185500,16474452,421000,38418179
SD,SUDAN,50400,3536211,50400,3536211
TW,"TAIWAN, PROVINCE OF CHINA",66250,7118348,82250,9075293
TR,TÜRKIYE,100,6069,100,6069
GB,UNITED KINGDOM,55,6695,55,6695
VN,VIETNAM,99175,7168488,163713,13038065
SUM,SUM,2074292,136968314,3594401,270577205
