"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'FOB (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'FOB (Baht)')"
CN,CHINA,0,0,750,9798
ID,INDONESIA,32000,1809356,288550,16903919
JP,JAPAN,0,0,11150,816591
KR,"KOREA,REPUBLIC OF",0,0,3500,115152
MX,MEXICO,0,0,50,2484
ZA,SOUTH AFRICA,7700,531755,12700,898073
US,UNITED STATES,0,0,12325,1492755
VN,VIETNAM,200,83570,625,252295
SUM,SUM,39900,2424681,329650,20491067
