"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'FOB (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'FOB (Baht)')"
AO,ANGOLA,49500,1516465,49500,1516465
AU,AUSTRALIA,483370,20305972,6725020,251249942
BD,BANGLADESH,99000,2943112,447400,14508873
BE,BELGIUM,22500,1236198,90000,5012468
KH,CAMBODIA,0,0,74250,1841020
CN,CHINA,34418934,1504666956,387028285,15684204572
DJ,DJIBOUTI,0,0,81500,2594243
FJ,FIJI,0,0,28000,884089
PF,FRENCH POLYNESIA,0,0,8000,259400
GH,GHANA,0,0,148500,4419559
HK,HONG KONG,49800,2829735,286745,11817241
IN,INDIA,1263775,50868750,8528060,360066386
ID,INDONESIA,4674805,163956145,55854020,1899195071
JP,JAPAN,3453500,131753944,53814450,1942425205
KR,"KOREA,REPUBLIC OF",298725,16808444,3503565,170092836
LA,LAO PDR,3000,103325,4000,137408
MY,MALAYSIA,665160,25879385,6459620,240219912
MU,MAURITIUS,0,0,42000,1172763
MM,MYANMAR,0,0,321700,7967019
NZ,NEW ZEALAND,307840,12597608,4167745,156253999
PK,PAKISTAN,8800,521192,202600,7936333
PH,PHILIPPINES,373550,12715521,8483000,261089273
PT,PORTUGAL,0,0,300000,7273533
RE,REUNION,0,0,3000,87264
SN,SENEGAL,0,0,49500,1532081
SG,SINGAPORE,183950,8815463,2109350,100584774
ES,SPAIN,100,3452,100,3452
LK,SRI LANKA,0,0,351000,12221634
TW,"TAIWAN, PROVINCE OF CHINA",1104600,37122978,7703900,273862995
TR,TÜRKIYE,25000,735832,25000,735832
AE,UNITED ARAB EMIRATES,0,0,16500,517148
US,UNITED STATES,37500,3787842,468800,36293910
VN,VIETNAM,519650,26300441,7209025,311173163
SUM,SUM,48043059,2025468760,554584135,21769149863
