"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'FOB (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'FOB (Baht)')"
BD,BANGLADESH,0,0,32500,704042
BN,BRUNEI DARUSSALAM,0,0,10000,386889
CN,CHINA,0,0,6225,334950
IN,INDIA,0,0,48000,2306808
JP,JAPAN,0,0,268,19918
LA,LAO PDR,24150,741710,24150,741710
MY,MALAYSIA,25000,698712,50000,1362964
PG,PAPUA NEW GUINEA,0,0,12,4008
ES,SPAIN,0,0,16,418
TR,TÜRKIYE,0,0,42600,3136901
GB,UNITED KINGDOM,0,0,20,619
US,UNITED STATES,0,0,4625,352214
VN,VIETNAM,57000,1912020,228000,8282110
SUM,SUM,106150,3352442,446416,17633551
