"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'FOB (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'FOB (Baht)')"
AR,ARGENTINA,101200,6905253,101200,6905253
AU,AUSTRALIA,27720,1813328,27720,1813328
BD,BANGLADESH,51000,1360495,51000,1360495
BR,BRAZIL,2000,105216,2000,105216
CN,CHINA,3816813,58583051,3816813,58583051
FJ,FIJI,17850,735910,17850,735910
HK,HONG KONG,131600,922859,131600,922859
IN,INDIA,309600,7673737,309600,7673737
ID,INDONESIA,100855,3683191,100855,3683191
JP,JAPAN,53900,1625323,53900,1625323
KR,"KOREA,REPUBLIC OF",1000,147093,1000,147093
LA,LAO PDR,17500,923701,17500,923701
MY,MALAYSIA,44841,5989328,44841,5989328
MM,MYANMAR,2500,226500,2500,226500
PK,PAKISTAN,1000,65708,1000,65708
PH,PHILIPPINES,8100,590598,8100,590598
SG,SINGAPORE,17000,1675313,17000,1675313
SK,SLOVAKIA,1,213,1,213
SI,SLOVENIA,229870,6709956,229870,6709956
ZA,SOUTH AFRICA,8515,699588,8515,699588
TW,"TAIWAN, PROVINCE OF CHINA",122500,5793059,122500,5793059
GB,UNITED KINGDOM,10,298,10,298
UY,URUGUAY,600,98018,600,98018
VN,VIETNAM,50400,3911325,50400,3911325
SUM,SUM,5116375,110239061,5116375,110239061
