"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'FOB (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,27000,673278
KH,CAMBODIA,25000,1116069,339975,17029269
CN,CHINA,20000,1381671,40000,3007199
HK,HONG KONG,160,21861,160,21861
IN,INDIA,38500,1402799,88000,2890631
ID,INDONESIA,0,0,76050,4631912
JP,JAPAN,500,105467,65350,3596680
MY,MALAYSIA,17000,1631781,37018,2716377
MM,MYANMAR,0,0,49500,1737379
NZ,NEW ZEALAND,0,0,36000,1216383
PK,PAKISTAN,0,0,15000,653657
PH,PHILIPPINES,1004,79260,1004,79260
US,UNITED STATES,0,0,1600,82789
SUM,SUM,102164,5738908,776657,38336675
