"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'FOB (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'FOB (Baht)')"
AU,AUSTRALIA,790610,29060123,790610,29060123
CN,CHINA,34571158,1420253285,34571158,1420253285
FJ,FIJI,15500,477911,15500,477911
HK,HONG KONG,64550,3112483,64550,3112483
IN,INDIA,979200,41593438,979200,41593438
ID,INDONESIA,5427850,181883443,5427850,181883443
JP,JAPAN,4301950,176242746,4301950,176242746
KR,"KOREA,REPUBLIC OF",752500,30851847,752500,30851847
MY,MALAYSIA,934790,33125632,934790,33125632
NZ,NEW ZEALAND,237370,8555537,237370,8555537
PK,PAKISTAN,49500,1487690,49500,1487690
PH,PHILIPPINES,948175,28136119,948175,28136119
SG,SINGAPORE,409200,20067460,409200,20067460
LK,SRI LANKA,116250,4046617,116250,4046617
TW,"TAIWAN, PROVINCE OF CHINA",834500,28656693,834500,28656693
US,UNITED STATES,73500,5755607,73500,5755607
VN,VIETNAM,588950,29032231,588950,29032231
SUM,SUM,51095553,2042338862,51095553,2042338862
