"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'FOB (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'FOB (Baht)')"
CN,CHINA,127397,8095745,1130542,71907568
HK,HONG KONG,24000,1146539,269275,11704394
IN,INDIA,0,0,600,26547
ID,INDONESIA,45600,2593580,477500,23174763
JP,JAPAN,100,4373,200,7220
KR,"KOREA,REPUBLIC OF",10000,2022148,114000,16329629
LA,LAO PDR,0,0,15000,780000
PK,PAKISTAN,200,14430,73000,6463425
PH,PHILIPPINES,17000,1136400,103400,6926844
SG,SINGAPORE,5500,929085,5500,929085
TW,"TAIWAN, PROVINCE OF CHINA",3000,446641,23000,3213430
US,UNITED STATES,0,0,9800,594057
VN,VIETNAM,101375,6820836,390050,24916929
SUM,SUM,334172,23209777,2611867,166973891
