"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'FOB (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'FOB (Baht)')"
AR,ARGENTINA,0,0,677350,51500133
AU,AUSTRALIA,0,0,2300,398812
BR,BRAZIL,0,0,100,10577
CN,CHINA,100,13893,7850,747319
DE,GERMANY,0,0,100,5982
IN,INDIA,0,0,5000,457761
ID,INDONESIA,49500,2118959,418775,26669426
JP,JAPAN,48400,2362678,119701,8287265
KR,"KOREA,REPUBLIC OF",0,0,925,24411
LA,LAO PDR,0,0,650,56550
MY,MALAYSIA,0,0,1950,216104
PK,PAKISTAN,125,8141,2625,298232
SG,SINGAPORE,0,0,2000,311546
TW,"TAIWAN, PROVINCE OF CHINA",0,0,238,82600
VN,VIETNAM,41000,2788162,737375,45597733
SUM,SUM,139125,7291833,1976939,134664451
