"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'FOB (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'FOB (Baht)')"
CN,CHINA,42600,2984887,1335822,83127568
HK,HONG KONG,1300,93199,270575,11797593
IN,INDIA,16000,801407,16600,827954
ID,INDONESIA,112100,4800942,750800,35562820
JP,JAPAN,0,0,200,7220
KR,"KOREA,REPUBLIC OF",5000,994693,131000,19234800
LA,LAO PDR,0,0,15000,780000
PK,PAKISTAN,6500,650113,80100,7288061
PH,PHILIPPINES,28000,1759254,169400,11081603
SG,SINGAPORE,0,0,5500,929085
TW,"TAIWAN, PROVINCE OF CHINA",60,4136,29060,4091702
US,UNITED STATES,0,0,9800,594057
VN,VIETNAM,36000,2209921,486050,30575437
SUM,SUM,247560,14298552,3299907,205897900
