"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'FOB (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'FOB (Baht)')"
DZ,ALGERIA,112200,5704118,112200,5704118
AO,ANGOLA,69600,3662469,69600,3662469
AR,ARGENTINA,51000,2286386,51000,2286386
AU,AUSTRALIA,207675,11372659,207675,11372659
BD,BANGLADESH,142500,6247692,142500,6247692
BE,BELGIUM,846000,37042471,846000,37042471
BR,BRAZIL,108000,4392235,108000,4392235
KH,CAMBODIA,285000,13439767,285000,13439767
CA,CANADA,28400,1395204,28400,1395204
CV,CAPE VERDE,27000,1158836,27000,1158836
CN,CHINA,20342510,888638364,20342510,888638364
CI,COTE D IVOIRE,558000,23704970,558000,23704970
CY,CYPRUS,37600,1840097,37600,1840097
DK,DENMARK,17000,735163,17000,735163
DJ,DJIBOUTI,54000,2296410,54000,2296410
FJ,FIJI,36500,1808726,36500,1808726
FR,FRANCE,406000,18045362,406000,18045362
DE,GERMANY,824000,36306557,824000,36306557
GH,GHANA,612000,25997277,612000,25997277
GR,GREECE,80000,4615702,80000,4615702
IN,INDIA,213000,9937639,213000,9937639
ID,INDONESIA,5045720,217612494,5045720,217612494
IE,IRELAND,168000,7776079,168000,7776079
IL,ISRAEL,911000,39573744,911000,39573744
IT,ITALY,726000,32118032,726000,32118032
JP,JAPAN,369000,17242692,369000,17242692
KZ,KAZAKHSTAN,34000,1580148,34000,1580148
LA,LAO PDR,202625,10796370,202625,10796370
LB,LEBANON,192000,8663177,192000,8663177
MG,MADAGASCAR,81000,3607429,81000,3607429
MY,MALAYSIA,1323190,58486870,1323190,58486870
MU,MAURITIUS,88000,4669478,88000,4669478
MZ,MOZAMBIQUE,175700,8373785,175700,8373785
NL,NETHERLANDS,48000,2198412,48000,2198412
NC,NEW CALEDONIA,13500,672216,13500,672216
NZ,NEW ZEALAND,49200,2435397,49200,2435397
NG,NIGERIA,64000,1341395,64000,1341395
PK,PAKISTAN,282500,11841893,282500,11841893
PE,PERU,284500,12035195,284500,12035195
PH,PHILIPPINES,523000,23032532,523000,23032532
PL,POLAND,35000,1629722,35000,1629722
PT,PORTUGAL,108000,4658432,108000,4658432
RE,REUNION,13500,723656,13500,723656
RU,RUSSIAN FEDERATION,119000,5150215,119000,5150215
SN,SENEGAL,27000,1300388,27000,1300388
SI,SLOVENIA,328000,14841781,328000,14841781
ZA,SOUTH AFRICA,242300,10916848,242300,10916848
LK,SRI LANKA,238900,10577544,238900,10577544
SD,SUDAN,109400,5380646,109400,5380646
SE,SWEDEN,210000,9894131,210000,9894131
TW,"TAIWAN, PROVINCE OF CHINA",35000,1559035,35000,1559035
TZ,TANZANIA UNITED REPUBLIC OF,98800,4415465,98800,4415465
TR,TÜRKIYE,1708500,74506300,1708500,74506300
UA,UKRAINE,383600,17450121,383600,17450121
AE,UNITED ARAB EMIRATES,247200,11122250,247200,11122250
GB,UNITED KINGDOM,24000,890905,24000,890905
VN,VIETNAM,750950,32132120,750950,32132120
SUM,SUM,40318070,1771835001,40318070,1771835001
