"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
AU,AUSTRALIA,15,10069,15,10069
KH,CAMBODIA,384,20400,384,20400
CN,CHINA,26527,647324,26527,647324
IN,INDIA,128000,5343034,240000,10377411
ID,INDONESIA,31,43512,97,175841
JP,JAPAN,187,25285,299,40460
LA,LAO PDR,1200,135423,1250,137923
MY,MALAYSIA,0,0,40,1298
NO,NORWAY,2,32,77,10146
LK,SRI LANKA,24750,1032637,24750,1032637
CH,SWITZERLAND,75,10114,75,10114
SUM,SUM,181171,7267830,293514,12463623
