"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'FOB (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,150,164100
CN,CHINA,0,0,277202,10222412
IN,INDIA,82,50198,53379,3416787
ID,INDONESIA,0,0,1000,318641
KR,"KOREA,REPUBLIC OF",80000,2267928,80000,2267928
LA,LAO PDR,0,0,3323,192515
MY,MALAYSIA,23917,1195715,309178,16076160
TW,"TAIWAN, PROVINCE OF CHINA",3250,24324,11250,1779900
AE,UNITED ARAB EMIRATES,0,0,49500,1867388
SUM,SUM,107249,3538165,784982,36305831
