"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'FOB (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,199091,6014878
BD,BANGLADESH,0,0,68480,3064575
BE,BELGIUM,0,0,500,31279
CN,CHINA,0,0,41064,6109505
DJ,DJIBOUTI,0,0,34000,1531031
HK,HONG KONG,0,0,7000,346217
ID,INDONESIA,32098,1940641,312143,17627855
JP,JAPAN,825,47850,112276,5091598
KR,"KOREA,REPUBLIC OF",0,0,1131,121295
MY,MALAYSIA,0,0,18500,883835
MM,MYANMAR,0,0,200,17244
PK,PAKISTAN,0,0,725,55084
PH,PHILIPPINES,0,0,51075,2312709
TW,"TAIWAN, PROVINCE OF CHINA",500,33715,1000,67460
US,UNITED STATES,0,0,200,15314
VN,VIETNAM,63320,4569625,717528,70457170
SUM,SUM,96743,6591831,1564913,113747049
