"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'FOB (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'FOB (Baht)')"
AO,ANGOLA,72000,2736918,72000,2736918
AU,AUSTRALIA,480125,20754150,480125,20754150
BH,BAHRAIN,76800,3413258,76800,3413258
BD,BANGLADESH,321600,13592598,321600,13592598
BE,BELGIUM,428500,18261726,428500,18261726
BR,BRAZIL,54000,2198896,54000,2198896
KH,CAMBODIA,327000,14845537,327000,14845537
CM,CAMEROON,144000,5677168,144000,5677168
CA,CANADA,40000,1968774,40000,1968774
CN,CHINA,8896600,370988114,8896600,370988114
CG,CONGO,14000,770516,14000,770516
CI,COTE D IVOIRE,108000,4295800,108000,4295800
DJ,DJIBOUTI,126000,5402832,126000,5402832
EC,ECUADOR,35000,1511545,35000,1511545
EG,EGYPT,17000,743317,17000,743317
FJ,FIJI,64400,3800484,64400,3800484
FR,FRANCE,143000,7033185,143000,7033185
GA,GABON,17600,807878,17600,807878
GM,GAMBIA,18000,690684,18000,690684
DE,GERMANY,216000,10935925,216000,10935925
GH,GHANA,432000,16348891,432000,16348891
IN,INDIA,290150,12896043,290150,12896043
ID,INDONESIA,3781390,160326610,3781390,160326610
IL,ISRAEL,790800,37107876,790800,37107876
JP,JAPAN,1424450,58109316,1424450,58109316
KZ,KAZAKHSTAN,34000,1450940,34000,1450940
KE,KENYA,116400,5593817,116400,5593817
KR,"KOREA,REPUBLIC OF",28400,3720810,28400,3720810
LA,LAO PDR,5104,328132,5104,328132
MG,MADAGASCAR,13500,711517,13500,711517
MY,MALAYSIA,588500,25358365,588500,25358365
MU,MAURITIUS,104400,5378682,104400,5378682
MZ,MOZAMBIQUE,62600,2651855,62600,2651855
MM,MYANMAR,160100,7220751,160100,7220751
NL,NETHERLANDS,22000,1203480,22000,1203480
NZ,NEW ZEALAND,278500,11920965,278500,11920965
PK,PAKISTAN,4000,465785,4000,465785
PE,PERU,216000,8777338,216000,8777338
PH,PHILIPPINES,289600,13007253,289600,13007253
PL,POLAND,105000,4568595,105000,4568595
RE,REUNION,12000,616311,12000,616311
RO,ROMANIA,24000,1101921,24000,1101921
RU,RUSSIAN FEDERATION,459000,19207737,459000,19207737
SN,SENEGAL,42550,2416257,42550,2416257
SL,SIERRA LEONE,13500,625865,13500,625865
SG,SINGAPORE,31625,1335041,31625,1335041
SK,SLOVAKIA,48750,2080392,48750,2080392
SI,SLOVENIA,51000,2139831,51000,2139831
ZA,SOUTH AFRICA,204000,8210215,204000,8210215
ES,SPAIN,48750,2077729,48750,2077729
LK,SRI LANKA,119100,5189932,119100,5189932
SD,SUDAN,13500,650878,13500,650878
CH,SWITZERLAND,200,8319,200,8319
TW,"TAIWAN, PROVINCE OF CHINA",87500,3638269,87500,3638269
TZ,TANZANIA UNITED REPUBLIC OF,70400,2997701,70400,2997701
TG,TOGO,54000,2072054,54000,2072054
TR,TÜRKIYE,89900,4528470,89900,4528470
UA,UKRAINE,161500,7281275,161500,7281275
AE,UNITED ARAB EMIRATES,579175,26360784,579175,26360784
GB,UNITED KINGDOM,35000,1496878,35000,1496878
VN,VIETNAM,1397634,61558682,1397634,61558682
SUM,SUM,23889603,1023170867,23889603,1023170867
