"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'FOB (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'FOB (Baht)')"
AU,AUSTRALIA,1104360,48434906,6616150,306960655
BD,BANGLADESH,281050,11768387,1429450,60007769
BE,BELGIUM,11000,671508,706700,42371102
BT,BHUTAN,0,0,330000,15402598
CN,CHINA,29181005,1339975396,168154785,7741967686
FR,FRANCE,1275,96376,1275,96376
DE,GERMANY,79200,4579524,199435,11613320
HK,HONG KONG,82000,4434255,440250,26343118
IN,INDIA,4718600,205156395,27010650,1210761479
ID,INDONESIA,7885060,332816603,39446185,1743872609
JP,JAPAN,5648050,281269140,47674175,2268693722
KR,"KOREA,REPUBLIC OF",956380,55370676,7997320,476914284
MY,MALAYSIA,1036870,45103706,9728105,435900021
MM,MYANMAR,107800,3740809,536800,18637949
NP,NEPAL,49500,1940267,262470,11210619
NZ,NEW ZEALAND,712660,32178048,3347150,157905126
PK,PAKISTAN,153550,6505165,677450,31139422
PH,PHILIPPINES,1472150,58165000,7483000,299854834
SG,SINGAPORE,84750,5272239,1789225,106700823
LK,SRI LANKA,107250,4632229,578000,26531848
TW,"TAIWAN, PROVINCE OF CHINA",778500,37798396,5879790,282897103
GB,UNITED KINGDOM,0,0,45,12491
US,UNITED STATES,36350,2077764,292100,16805303
VN,VIETNAM,1241775,76506017,7134275,451870192
SUM,SUM,55729135,2558492806,337714785,15744470449
