"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
CN,CHINA,0,0,16400,1109313
ID,INDONESIA,0,0,80100,4521590
KR,"KOREA,REPUBLIC OF",0,0,50,1582
MM,MYANMAR,0,0,39,10000
PK,PAKISTAN,13300,1198295,13300,1198295
US,UNITED STATES,0,0,5500,578344
SUM,SUM,13300,1198295,115389,7419124
