"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'FOB (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,16000,441670
AU,AUSTRALIA,59750,2278143,119750,4789184
BR,BRAZIL,48000,3839033,120000,9697110
CN,CHINA,86675,7689432,175789,15763493
EG,EGYPT,1300,64461,1300,64461
HK,HONG KONG,10000,958620,10000,958620
IN,INDIA,355773,31705858,749998,67253389
ID,INDONESIA,223725,19366351,554482,47542767
JP,JAPAN,1576,109978,2276,226894
KR,"KOREA,REPUBLIC OF",12250,964332,12250,964332
MG,MADAGASCAR,33000,960022,33000,960022
MY,MALAYSIA,39025,4628098,79875,8007604
MM,MYANMAR,3000,456507,3000,456507
PH,PHILIPPINES,27512,2976246,50361,5326359
SG,SINGAPORE,700,5914,700,5914
CH,SWITZERLAND,0,0,96,849
TW,"TAIWAN, PROVINCE OF CHINA",16600,1778470,55450,5395168
AE,UNITED ARAB EMIRATES,0,0,36000,2288690
VN,VIETNAM,64534,6383136,109784,10702935
SUM,SUM,983420,84164601,2130111,180845968
