"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'FOB (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'FOB (Baht)')"
AU,AUSTRALIA,890490,33282648,2366250,87773422
BD,BANGLADESH,64350,3005021,64350,3005021
BE,BELGIUM,22500,1244220,22500,1244220
CN,CHINA,29335415,1201134537,91889713,3812067094
FJ,FIJI,12500,406178,28000,884089
HK,HONG KONG,56017,857403,120667,3974559
IN,INDIA,1021750,49060351,2920650,130201275
ID,INDONESIA,6946890,250136073,17829950,621773066
JP,JAPAN,9170865,363499263,20347465,794021246
KR,"KOREA,REPUBLIC OF",602200,27509798,1911490,83918098
MY,MALAYSIA,776825,30667423,2065815,79775580
MM,MYANMAR,5000,147946,5000,147946
NZ,NEW ZEALAND,736650,26945714,1269520,46223616
PK,PAKISTAN,49500,1858144,139400,5286295
PH,PHILIPPINES,818600,25535705,2284925,71837328
SG,SINGAPORE,434600,21320612,971800,48729248
LK,SRI LANKA,0,0,262000,9010435
TW,"TAIWAN, PROVINCE OF CHINA",717350,26791907,2270850,81756764
US,UNITED STATES,18800,1891349,111050,9407678
VN,VIETNAM,829400,44159231,1732300,88209115
SUM,SUM,52509702,2109453523,148613695,5979246095
