"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'FOB (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,11000,1064198
CN,CHINA,54500,3240030,207850,6622484
IN,INDIA,35725,4521342,42225,5503758
ID,INDONESIA,63100,3011096,165200,7563285
JP,JAPAN,15000,676915,15000,676915
KR,"KOREA,REPUBLIC OF",2000,212265,2000,212265
MX,MEXICO,25500,1222573,25500,1222573
PK,PAKISTAN,0,0,2450,224322
TW,"TAIWAN, PROVINCE OF CHINA",175,26256,175,26256
VN,VIETNAM,19000,810374,20300,887360
SUM,SUM,215000,13720851,491700,24003416
