"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'FOB (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,41090,1747510
CN,CHINA,12000,1123661,720770,23917693
HK,HONG KONG,24000,902004,24000,902004
IN,INDIA,39000,4633719,190525,19790827
ID,INDONESIA,78400,4299344,642900,31944600
JP,JAPAN,0,0,30200,1340522
KR,"KOREA,REPUBLIC OF",0,0,16000,1686775
MX,MEXICO,0,0,102000,4583703
PK,PAKISTAN,0,0,2450,224322
TW,"TAIWAN, PROVINCE OF CHINA",0,0,175,26256
TG,TOGO,0,0,32500,784169
VN,VIETNAM,0,0,48527,2613395
SUM,SUM,153400,10958728,1851137,89561776
