"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'FOB (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'FOB (Baht)')"
AU,AUSTRALIA,593000,19247416,1217275,38491480
BD,BANGLADESH,239500,6553595,451500,12165902
BR,BRAZIL,750,30642,750,30642
KH,CAMBODIA,799125,25238572,1441100,44578936
CA,CANADA,120250,3868150,274275,9085440
CN,CHINA,14099875,391419749,26376650,740779181
CI,COTE D IVOIRE,0,0,42000,1246489
DJ,DJIBOUTI,385000,10193375,455000,12068796
FJ,FIJI,22200,792293,54875,1897713
FR,FRANCE,0,0,110000,3646470
PF,FRENCH POLYNESIA,31000,901401,66500,2004203
GA,GABON,0,0,13500,480934
DE,GERMANY,431975,16523611,665875,25853628
GR,GREECE,48000,1959687,48000,1959687
IN,INDIA,452950,15782514,1015600,31984575
ID,INDONESIA,6011600,155650826,8484975,216717946
IL,ISRAEL,385775,13180275,979225,32739040
JP,JAPAN,1313925,37563195,3376674,96137749
KE,KENYA,51000,1859053,249000,6938497
KR,"KOREA,REPUBLIC OF",20000,2067255,40000,4122795
LA,LAO PDR,147500,4365132,183000,5283866
LV,LATVIA,0,0,25500,804151
LT,LITHUANIA,0,0,13475,456184
MG,MADAGASCAR,25500,928471,77000,2681529
MY,MALAYSIA,2209975,60553169,4660975,125692087
MU,MAURITIUS,105600,3957066,231925,8999819
MX,MEXICO,3300,384510,7300,894421
MZ,MOZAMBIQUE,0,0,18000,469499
MM,MYANMAR,509500,14322794,1042600,29815701
NL,NETHERLANDS,88000,3710172,200000,8095360
NC,NEW CALEDONIA,27000,879118,27000,879118
NZ,NEW ZEALAND,427500,12842247,1024675,31836204
NG,NIGERIA,119000,2475460,119000,2475460
PK,PAKISTAN,4475,172480,4500,173448
PH,PHILIPPINES,609600,16398623,1659100,43738983
PL,POLAND,143000,4636850,184250,5767348
QA,QATAR,105000,2880651,210000,5866657
RE,REUNION,27000,973832,40500,1465733
RO,ROMANIA,30000,1052967,45000,1576151
RU,RUSSIAN FEDERATION,51000,1551386,538900,15134540
SN,SENEGAL,28400,1181685,153225,6230565
SG,SINGAPORE,7500,293143,74500,2947081
SO,SOMALIA,14200,580408,14200,580408
ZA,SOUTH AFRICA,28600,921609,235600,6520707
LK,SRI LANKA,18000,514236,31500,937765
TW,"TAIWAN, PROVINCE OF CHINA",123000,3848395,209500,6548413
TR,TÜRKIYE,39275,1727766,67550,2979936
UA,UKRAINE,230500,7378336,393500,12531436
AE,UNITED ARAB EMIRATES,611000,17022771,667800,19200815
GB,UNITED KINGDOM,445500,12425472,470250,13090139
VN,VIETNAM,5323625,142294527,8022175,212842305
SUM,SUM,36508475,1023104885,66015274,1859445932
