"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'FOB (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'FOB (Baht)')"
DZ,ALGERIA,0,0,30000,988142
AU,AUSTRALIA,48000,1062893,104750,3072053
BD,BANGLADESH,0,0,933500,38484712
BE,BELGIUM,23206,116128,23206,116128
BR,BRAZIL,12,4530,1186012,67857606
KH,CAMBODIA,10000,1813219,488705,24899016
CM,CAMEROON,48000,1321110,48000,1321110
CA,CANADA,0,0,514,2318
CN,CHINA,1141023,18494729,22998795,350053207
CO,COLOMBIA,0,0,100,34418
ET,ETHIOPIA,0,0,47675,1519050
FJ,FIJI,16000,519651,80000,2902884
DE,GERMANY,0,0,3000,493836
GH,GHANA,0,0,68000,3434502
HK,HONG KONG,0,0,50364,2234415
IN,INDIA,1067430,52820535,10931784,585226359
ID,INDONESIA,10525,1076334,8862420,397480217
IT,ITALY,0,0,10,877
JP,JAPAN,1511,260804,1086820,57055659
KE,KENYA,0,0,43450,721975
KR,"KOREA,REPUBLIC OF",300,6217,354789,5428055
LA,LAO PDR,130000,5072803,716925,47358231
MG,MADAGASCAR,0,0,144625,3976296
MY,MALAYSIA,17844,1993320,820743,43716854
MX,MEXICO,0,0,372875,17728492
MM,MYANMAR,112000,3949388,6902665,305088884
NZ,NEW ZEALAND,0,0,15000,769664
NG,NIGERIA,0,0,17000,752828
PK,PAKISTAN,1500,116937,145275,7262315
PH,PHILIPPINES,5620,456661,1704484,81224281
PT,PORTUGAL,0,0,51000,2083886
QA,QATAR,0,0,102000,4689954
SG,SINGAPORE,0,0,93618,4350613
SI,SLOVENIA,0,0,395880,20934377
ZA,SOUTH AFRICA,10000,607200,318100,21343240
LK,SRI LANKA,0,0,58700,4701413
TW,"TAIWAN, PROVINCE OF CHINA",0,0,121180,11085229
TR,TÜRKIYE,0,0,35800,2233483
AE,UNITED ARAB EMIRATES,0,0,32375,1050904
GB,UNITED KINGDOM,0,0,198742,11309716
US,UNITED STATES,0,0,16553,1873905
VN,VIETNAM,94500,5756913,4646700,220947155
SUM,SUM,2737471,95449372,64252134,2357808259
