"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'FOB (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'FOB (Baht)')"
BD,BANGLADESH,0,0,78500,3063973
BN,BRUNEI DARUSSALAM,0,0,34000,1488148
CN,CHINA,500,106259,217035,7241896
IN,INDIA,16000,1002045,257000,15548936
ID,INDONESIA,0,0,3757104,165112143
JP,JAPAN,950,31067,6487,324094
LA,LAO PDR,0,0,45000,2079411
PK,PAKISTAN,0,0,2800,277980
PG,PAPUA NEW GUINEA,163,34067,163,34067
SG,SINGAPORE,0,0,11,1106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,667,61322
TR,TÜRKIYE,6000,486601,38400,3048298
US,UNITED STATES,32375,2636207,77700,6283894
VN,VIETNAM,0,0,139650,8393677
SUM,SUM,55988,4296246,4654517,212958945
