"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'FOB (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'FOB (Baht)')"
AU,AUSTRALIA,1032150,46449631,8485440,390930710
BD,BANGLADESH,391050,16106986,2117500,87948474
BE,BELGIUM,158400,9581170,1123850,67025047
BT,BHUTAN,0,0,330000,15402598
CN,CHINA,24079575,1158449254,218005435,10196947188
FR,FRANCE,0,0,1275,96376
DE,GERMANY,0,0,199435,11613320
HK,HONG KONG,30050,2034583,571550,35000882
IN,INDIA,5229575,228235731,35789025,1593317014
ID,INDONESIA,6137550,270935821,49598665,2199074744
JP,JAPAN,7448675,372405470,60542900,2917861849
KR,"KOREA,REPUBLIC OF",555250,33418133,9790820,583215070
MY,MALAYSIA,1848050,81883551,13167060,589926416
MM,MYANMAR,24750,987216,627550,21944269
NP,NEPAL,0,0,262470,11210619
NZ,NEW ZEALAND,827310,37621294,4793350,223893298
PK,PAKISTAN,44550,2043627,772750,35358359
PH,PHILIPPINES,651750,26821078,8765600,353051348
SG,SINGAPORE,282150,18597248,2442725,149045727
LK,SRI LANKA,148500,6601638,883250,40063534
TW,"TAIWAN, PROVINCE OF CHINA",687600,36305987,7654740,372207890
GB,UNITED KINGDOM,0,0,45,12491
US,UNITED STATES,17600,1048929,347200,19992904
VN,VIETNAM,1278900,73476507,9379275,589217900
SUM,SUM,50873435,2423003854,435651910,20504358027
