"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'FOB (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'FOB (Baht)')"
AU,AUSTRALIA,90000,1974942,120000,2897330
CN,CHINA,292000,12345958,972000,40644224
ID,INDONESIA,881300,41933796,1873150,89438051
IT,ITALY,25,1611,25,1611
JP,JAPAN,0,0,25,8377
LA,LAO PDR,15000,605820,45000,1824961
MY,MALAYSIA,6000,419824,21000,1455870
MM,MYANMAR,0,0,170000,7757836
PK,PAKISTAN,26375,2387962,26375,2387962
PH,PHILIPPINES,75,3476,75,3476
ZA,SOUTH AFRICA,700,67472,1400,135911
TW,"TAIWAN, PROVINCE OF CHINA",0,0,500,62204
VN,VIETNAM,15000,871087,29000,1620393
SUM,SUM,1326475,60611948,3258550,148238206
