"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'FOB (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,1000,38127
CN,CHINA,946980,22282919,9653087,225808882
CI,COTE D IVOIRE,0,0,11500,871076
IN,INDIA,0,0,500,79948
JP,JAPAN,176000,7601744,332664,15885032
KR,"KOREA,REPUBLIC OF",0,0,499,53332
LA,LAO PDR,0,0,32050,1474689
MY,MALAYSIA,3,254,3,254
SG,SINGAPORE,0,0,300,14772
LK,SRI LANKA,0,0,25,1128
VN,VIETNAM,0,0,3200,286360
SUM,SUM,1122983,29884917,10034828,244513600
