"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
AR,ARGENTINA,96000,7727237,96000,7727237
AU,AUSTRALIA,1447220,54790863,1447220,54790863
BD,BANGLADESH,746250,30778763,746250,30778763
BR,BRAZIL,110140,4957871,110140,4957871
KH,CAMBODIA,128000,5184372,128000,5184372
CN,CHINA,3771975,124372105,3771975,124372105
EG,EGYPT,48000,1906119,48000,1906119
FJ,FIJI,17250,662025,17250,662025
HK,HONG KONG,24000,890375,24000,890375
IN,INDIA,2864725,110848562,2864725,110848562
ID,INDONESIA,2898575,146933636,2898575,146933636
JP,JAPAN,11750435,451247057,11750435,451247057
KR,"KOREA,REPUBLIC OF",6000,788068,6000,788068
MY,MALAYSIA,474400,20128591,474400,20128591
MU,MAURITIUS,69500,3206122,69500,3206122
MX,MEXICO,24000,854694,24000,854694
MM,MYANMAR,98375,4252554,98375,4252554
NL,NETHERLANDS,75050,3121429,75050,3121429
NZ,NEW ZEALAND,15000,565950,15000,565950
NG,NIGERIA,272000,11898974,272000,11898974
OM,OMAN,25500,1148255,25500,1148255
PK,PAKISTAN,111800,6600527,111800,6600527
PH,PHILIPPINES,1145475,54478975,1145475,54478975
QA,QATAR,25500,1164332,25500,1164332
SA,SAUDI ARABIA,168000,7422106,168000,7422106
SG,SINGAPORE,125,8212,125,8212
ZA,SOUTH AFRICA,981150,81245426,981150,81245426
LK,SRI LANKA,34000,1357831,34000,1357831
TW,"TAIWAN, PROVINCE OF CHINA",48625,3407038,48625,3407038
TR,TÜRKIYE,1475,58648,1475,58648
AE,UNITED ARAB EMIRATES,72000,3098785,72000,3098785
US,UNITED STATES,15000,659172,15000,659172
VN,VIETNAM,842625,34311316,842625,34311316
SUM,SUM,28408170,1180075990,28408170,1180075990
