"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'FOB (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,110000,10290267
CN,CHINA,366450,9126219,2090115,76839626
CI,COTE D IVOIRE,0,0,178500,6565569
HK,HONG KONG,150,11439,224150,9104401
IN,INDIA,4000,603770,64200,3796972
ID,INDONESIA,156600,6603305,1092450,48843257
JP,JAPAN,15025,683060,93925,4777401
KR,"KOREA,REPUBLIC OF",2200,245430,14200,1543290
MX,MEXICO,0,0,127500,5901437
MM,MYANMAR,610,83364,610,83364
PK,PAKISTAN,0,0,375,61368
TW,"TAIWAN, PROVINCE OF CHINA",0,0,200,32000
TR,TÜRKIYE,0,0,51,497
US,UNITED STATES,700,52107,700,52107
VN,VIETNAM,30000,1179480,541700,22286446
SUM,SUM,575735,18588174,4538676,190178002
