"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'FOB (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'FOB (Baht)')"
KH,CAMBODIA,0,0,49450,697600
CN,CHINA,0,0,1992025,81400620
HK,HONG KONG,0,0,1,97
IN,INDIA,414,274164,4325,2813786
ID,INDONESIA,0,0,2200,103228
JP,JAPAN,0,0,100,4739
KR,"KOREA,REPUBLIC OF",0,0,1320,18004
LA,LAO PDR,398,14600,398,14600
MY,MALAYSIA,44657,2422909,578539,29973276
PH,PHILIPPINES,0,0,35201,1758654
LK,SRI LANKA,0,0,2000,81486
TW,"TAIWAN, PROVINCE OF CHINA",0,0,300,22500
SUM,SUM,45469,2711673,2665859,116888590
