"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'FOB (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'FOB (Baht)')"
CN,CHINA,17000,845227,102632,5305033
HK,HONG KONG,0,0,12175,650433
IN,INDIA,0,0,21500,2437502
ID,INDONESIA,10000,1231973,126625,16419441
JP,JAPAN,0,0,75,4125
KR,"KOREA,REPUBLIC OF",5000,794876,119500,13188589
LA,LAO PDR,0,0,68000,2098250
MY,MALAYSIA,0,0,1000,113414
PK,PAKISTAN,1500,68807,272950,20599643
PH,PHILIPPINES,18875,1056496,200950,9853866
SG,SINGAPORE,1000,115030,6400,807682
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6000,660853
US,UNITED STATES,0,0,19400,929123
VN,VIETNAM,34000,1596901,439000,20804837
SUM,SUM,87375,5709310,1396207,93872791
