"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'FOB (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'FOB (Baht)')"
JP,JAPAN,0,0,12000,710281
VN,VIETNAM,8000,574929,32000,2266382
SUM,SUM,8000,574929,44000,2976663
