"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'FOB (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'FOB (Baht)')"
AR,ARGENTINA,89000,5455725,89000,5455725
AU,AUSTRALIA,1176590,56833975,1176590,56833975
BD,BANGLADESH,1741750,72101244,1741750,72101244
BR,BRAZIL,66000,3541389,66000,3541389
KH,CAMBODIA,155500,6578777,155500,6578777
CN,CHINA,15658200,645876803,15658200,645876803
DJ,DJIBOUTI,85000,3317702,85000,3317702
EG,EGYPT,310500,12664752,310500,12664752
GE,GEORGIA,17000,729702,17000,729702
HK,HONG KONG,33500,1407291,33500,1407291
IN,INDIA,3064742,135131886,3064742,135131886
ID,INDONESIA,3082759,149060022,3082759,149060022
IL,ISRAEL,255000,9090086,255000,9090086
JP,JAPAN,649159,28690909,649159,28690909
KR,"KOREA,REPUBLIC OF",27000,2970524,27000,2970524
LA,LAO PDR,12044,544715,12044,544715
MY,MALAYSIA,718050,35345128,718050,35345128
MU,MAURITIUS,133000,5798146,133000,5798146
MX,MEXICO,546000,22263225,546000,22263225
MM,MYANMAR,170000,7757836,170000,7757836
NZ,NEW ZEALAND,66425,3014370,66425,3014370
NO,NORWAY,4500,162977,4500,162977
PK,PAKISTAN,618272,35325331,618272,35325331
PH,PHILIPPINES,1821144,80004999,1821144,80004999
ZA,SOUTH AFRICA,195300,14176767,195300,14176767
LK,SRI LANKA,131250,5552652,131250,5552652
TW,"TAIWAN, PROVINCE OF CHINA",57200,3756968,57200,3756968
TR,TÜRKIYE,127500,6003280,127500,6003280
AE,UNITED ARAB EMIRATES,33000,1364582,33000,1364582
US,UNITED STATES,399475,15975245,399475,15975245
VN,VIETNAM,1214150,57080017,1214150,57080017
SUM,SUM,32659010,1427577025,32659010,1427577025
