"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'FOB (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'FOB (Baht)')"
CN,CHINA,93350,4163430,123350,6316124
HK,HONG KONG,24000,1026485,72000,3046403
IN,INDIA,600,26547,600,26547
ID,INDONESIA,69900,3204305,98200,4983063
JP,JAPAN,100,2847,100,2847
KR,"KOREA,REPUBLIC OF",28000,3514147,33000,4373106
PK,PAKISTAN,18000,1523167,18000,1523167
PH,PHILIPPINES,6400,417814,34400,2077635
US,UNITED STATES,0,0,9800,594057
VN,VIETNAM,36675,2124054,120675,7088680
SUM,SUM,277025,16002796,510125,30031629
