"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'FOB (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'FOB (Baht)')"
AL,ALBANIA,0,0,17000,570448
AO,ANGOLA,0,0,99000,3491922
AU,AUSTRALIA,597860,20875353,2351830,81971426
BD,BANGLADESH,262750,9615839,821500,29595033
KH,CAMBODIA,207000,7203031,624000,21881404
CM,CAMEROON,74250,2682722,74250,2682722
CA,CANADA,72000,2488320,257000,9153911
CN,CHINA,6503001,216423542,21133342,718072100
CG,CONGO,199000,6772193,250000,8507574
CI,COTE D IVOIRE,0,0,34000,1211648
DJ,DJIBOUTI,252000,8473018,431000,14464489
FJ,FIJI,72000,2456275,144000,4903661
PF,FRENCH POLYNESIA,9000,305385,27000,970990
DE,GERMANY,100,5655,36300,2084173
HK,HONG KONG,0,0,270473,8900661
IN,INDIA,1713000,62870560,5486500,195826845
ID,INDONESIA,3496400,124416631,9489275,341257671
JP,JAPAN,1142775,42339558,3821667,147015031
KZ,KAZAKHSTAN,0,0,102000,3428691
KE,KENYA,0,0,25500,880296
KR,"KOREA,REPUBLIC OF",482050,17639603,1526650,55298183
LA,LAO PDR,474248,20803779,1577162,65906736
MY,MALAYSIA,379488,15357069,1716598,68799888
MV,MALDIVES,0,500,34,13960
MU,MAURITIUS,35000,1284628,35000,1284628
MX,MEXICO,36000,1221822,72000,2419499
MZ,MOZAMBIQUE,0,0,53000,1811632
MM,MYANMAR,670800,22671561,1852870,62898633
NP,NEPAL,34500,1277850,34500,1277850
NL,NETHERLANDS,19200,947070,19200,947070
NC,NEW CALEDONIA,18000,610770,29000,974860
NZ,NEW ZEALAND,116750,3996433,527000,17948595
PG,PAPUA NEW GUINEA,36000,1221540,137000,4624251
PH,PHILIPPINES,411750,14010962,1201250,41472403
PT,PORTUGAL,75000,2415274,75005,2433056
RE,REUNION,29000,1034512,77000,2820582
RU,RUSSIAN FEDERATION,18000,601030,18000,601030
SA,SAUDI ARABIA,100,2886,690,137665
SG,SINGAPORE,18000,642596,67500,2443346
SB,SOLOMON ISLANDS,5000,171229,5000,171229
ZA,SOUTH AFRICA,0,0,209000,7483344
LK,SRI LANKA,43500,1608764,147000,5421092
SE,SWEDEN,4500,158384,4500,158384
TW,"TAIWAN, PROVINCE OF CHINA",973000,34859426,3394250,119017073
UA,UKRAINE,34500,1339735,172500,6664031
US,UNITED STATES,31250,1099794,81750,2851408
VN,VIETNAM,4967814,167461753,12643263,428150514
SUM,SUM,23514586,819367052,71172359,2500901638
