"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'FOB (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'FOB (Baht)')"
AU,AUSTRALIA,124000,7815272,401800,25498989
BD,BANGLADESH,257400,12881667,257400,12881667
BE,BELGIUM,0,0,1,37
CN,CHINA,13782753,714390877,22216668,1153824705
HK,HONG KONG,186426,8995095,418933,20794875
IN,INDIA,809601,42103851,1739451,92208359
ID,INDONESIA,372520,19394894,1918090,93566907
JP,JAPAN,1587925,95972168,4288500,265065988
KR,"KOREA,REPUBLIC OF",1662200,90359088,3045400,168451320
LA,LAO PDR,0,0,148800,3998000
MY,MALAYSIA,1239675,59279891,3714650,170466021
MM,MYANMAR,1075,64000,1405,77200
NZ,NEW ZEALAND,35,1563,38835,2772661
PK,PAKISTAN,0,0,8800,453522
PH,PHILIPPINES,941050,41109064,1784750,78153817
SG,SINGAPORE,138600,8290390,365210,21966704
ES,SPAIN,0,0,39600,2008812
LK,SRI LANKA,19800,1100617,19800,1100617
TW,"TAIWAN, PROVINCE OF CHINA",397600,20930258,643625,33767905
VN,VIETNAM,187750,11063908,409180,23711513
SUM,SUM,21708410,1133752603,41460898,2170769619
