"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'FOB (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'FOB (Baht)')"
AR,ARGENTINA,0,0,0,64
CA,CANADA,0,0,1428,457433
CN,CHINA,25,3351,16925,650959
IN,INDIA,0,0,359,41112
ID,INDONESIA,42025,4918036,225325,17260613
JP,JAPAN,1575,119811,7925,773947
KE,KENYA,0,0,16250,438873
KR,"KOREA,REPUBLIC OF",0,0,100,6854
MY,MALAYSIA,14250,374025,36369,965640
SG,SINGAPORE,0,0,1500,169281
ZA,SOUTH AFRICA,0,0,2300,289943
US,UNITED STATES,0,0,300,25365
VN,VIETNAM,107500,5348232,525500,27132608
SUM,SUM,165375,10763455,834281,48212692
