"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2015', 'Quantity')","('Apr 2015', 'FOB (Baht)')","('Jan - Apr 2015', 'Quantity')","('Jan - Apr 2015', 'FOB (Baht)')"
AR,ARGENTINA,0,16,0,64
CA,CANADA,0,0,1428,457433
CN,CHINA,50,6700,900,78369
IN,INDIA,0,0,359,41112
ID,INDONESIA,0,0,86150,5870063
JP,JAPAN,0,32,3850,446322
SG,SINGAPORE,0,0,1500,169281
ZA,SOUTH AFRICA,1800,226313,2300,289943
US,UNITED STATES,0,0,300,25365
VN,VIETNAM,36000,1956805,248500,13396230
SUM,SUM,37850,2189866,345287,20774182
