"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
CN,CHINA,0,0,16300,911372
HK,HONG KONG,0,0,3825,230614
ID,INDONESIA,13500,2093120,75800,10155506
JP,JAPAN,0,0,2175,160637
LA,LAO PDR,14500,636250,87000,3928750
PH,PHILIPPINES,0,0,68000,3602928
ZA,SOUTH AFRICA,6050,430707,6050,430707
US,UNITED STATES,0,0,675,54392
VN,VIETNAM,30000,1531145,203775,11821229
SUM,SUM,64050,4691222,463600,31296135
