"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'FOB (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'FOB (Baht)')"
CA,CANADA,0,0,800,20205
CN,CHINA,366720,3160828,666710,13166287
HK,HONG KONG,800,23312,800,23312
IN,INDIA,81000,10247251,299200,35516942
ID,INDONESIA,52825,2962627,372123,18201517
JP,JAPAN,0,0,3000,147096
KE,KENYA,0,0,16500,337192
KR,"KOREA,REPUBLIC OF",0,0,6000,632487
MY,MALAYSIA,0,0,1500,189584
MX,MEXICO,0,0,49500,2159696
PK,PAKISTAN,0,0,500,20641
TW,"TAIWAN, PROVINCE OF CHINA",0,0,49759,967407
US,UNITED STATES,800,56299,800,56299
VN,VIETNAM,27500,1106408,158400,5434079
SUM,SUM,529645,17556725,1625592,76872744
