"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'FOB (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'FOB (Baht)')"
BD,BANGLADESH,306000,17271767,306000,17271767
CN,CHINA,4165000,243883013,4165000,243883013
ET,ETHIOPIA,102000,6018536,102000,6018536
IN,INDIA,2105000,116734116,2105000,116734116
ID,INDONESIA,122625,7033873,122625,7033873
MY,MALAYSIA,250,42250,250,42250
PK,PAKISTAN,85000,4699302,85000,4699302
LK,SRI LANKA,170000,9714127,170000,9714127
SY,SYRIAN ARAB REPUBLIC,80000,4767003,80000,4767003
US,UNITED STATES,19000,1304016,19000,1304016
VN,VIETNAM,85200,4909572,85200,4909572
SUM,SUM,7240075,416377575,7240075,416377575
