"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
AU,AUSTRALIA,30000,701350,60000,1379344
BD,BANGLADESH,0,0,16275,219246
BE,BELGIUM,72000,6919524,360000,34551140
KH,CAMBODIA,0,0,60,19973
CN,CHINA,92800,6256879,719850,25698880
CI,COTE D IVOIRE,16250,395016,16250,395016
EG,EGYPT,0,0,48625,3040187
GA,GABON,0,0,32000,751008
DE,GERMANY,1,31,1,31
HK,HONG KONG,15500,470995,15516,567801
IN,INDIA,877235,66967944,1894585,146115014
ID,INDONESIA,263022,22547479,945147,71094409
JP,JAPAN,181,50329,14906,1494741
KR,"KOREA,REPUBLIC OF",19801,1614484,31801,2608303
LA,LAO PDR,95,37661,180,57216
MY,MALAYSIA,21250,2215048,92252,8607877
MU,MAURITIUS,32400,787756,32400,787756
MZ,MOZAMBIQUE,48750,1139693,81250,1888731
MM,MYANMAR,30,9,37,15
PK,PAKISTAN,455,122739,455,122739
PH,PHILIPPINES,26600,2253655,72147,8439574
QA,QATAR,6600,1142412,6600,1142412
SA,SAUDI ARABIA,0,0,48450,3742010
SG,SINGAPORE,348,81376,348,81376
ZA,SOUTH AFRICA,19150,807268,39200,1773785
LK,SRI LANKA,0,0,32000,758441
TW,"TAIWAN, PROVINCE OF CHINA",56880,4639563,93480,7603458
AE,UNITED ARAB EMIRATES,45000,1117484,75000,1800463
US,UNITED STATES,0,0,16000,973446
VN,VIETNAM,84342,4418217,195007,12487191
SUM,SUM,1728690,124686912,4939822,338201583
