"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'FOB (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'FOB (Baht)')"
CN,CHINA,190128,5914612,609009,23057119
HK,HONG KONG,0,0,168000,6790348
IN,INDIA,40001,1559153,170776,7719482
ID,INDONESIA,94200,4576931,1206616,56906336
JP,JAPAN,30500,1521029,60361,3099854
KR,"KOREA,REPUBLIC OF",3000,331740,4000,442355
MX,MEXICO,0,0,75000,3525382
MM,MYANMAR,61259,2400645,61259,2400645
PK,PAKISTAN,504,63713,3354,396174
PH,PHILIPPINES,0,0,16000,1223199
SG,SINGAPORE,0,0,300,12487
VN,VIETNAM,87000,3990903,887000,41529051
SUM,SUM,506592,20358726,3261675,147102432
