"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'FOB (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'FOB (Baht)')"
AU,AUSTRALIA,24000,1449669,168000,10250209
BD,BANGLADESH,600,54215,600,54215
BN,BRUNEI DARUSSALAM,0,0,15000,597898
KH,CAMBODIA,2000,127321,6000,360621
CN,CHINA,0,0,302,9782
ID,INDONESIA,428000,23196471,1791000,99292787
IQ,IRAQ,0,0,31000,504516
JP,JAPAN,300,13500,1325,46760
MY,MALAYSIA,1000,123996,63001,5053444
NL,NETHERLANDS,0,0,4865,500348
US,UNITED STATES,0,0,1302,191329
VN,VIETNAM,34000,970025,68000,1955618
SUM,SUM,489900,25935197,2150395,118817527
