"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'FOB (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,15162,399574
CM,CAMEROON,0,0,16250,403407
CN,CHINA,168000,7499242,275700,12149889
GA,GABON,0,0,48000,1426555
GH,GHANA,0,0,227500,5552520
HK,HONG KONG,56000,2210557,122925,8235013
IN,INDIA,17000,845516,57300,5143037
ID,INDONESIA,179210,8383955,636560,33152766
JP,JAPAN,0,0,17652,1404243
KE,KENYA,0,0,16250,432553
KR,"KOREA,REPUBLIC OF",0,0,1770,255313
LA,LAO PDR,5,1800,96,32676
MY,MALAYSIA,0,0,1475,89778
MX,MEXICO,0,0,30000,1422842
PK,PAKISTAN,324,48634,544,110738
PH,PHILIPPINES,2000,193125,2000,193125
ZA,SOUTH AFRICA,0,0,57100,7857652
LK,SRI LANKA,44,9611,112110,2826128
TW,"TAIWAN, PROVINCE OF CHINA",0,0,600,75621
VN,VIETNAM,107500,4785511,1337000,61490169
SUM,SUM,530083,23977951,2975994,142653599
